index,mtx,m,n,nnz,right-n,pixel_gflops
1477,2762_vas_stokes_1M.mtx,1090664,1090664,34767207,8,108.626
1478,2513_ifiss_mat.mtx,96307,96307,3599932,8,185.206
1479,2359_TF18.mtx,95368,123867,1597545,8,45.973
1480,0576_Trefethen_300.mtx,300,300,4678,8,4.678
1481,1955_HEP-th.mtx,27240,27240,342437,8,22.64
1482,1257_deter7.mtx,6375,18153,37131,8,14.49
1483,2363_Zd_Jac2.mtx,22835,22835,1642833,8,117.345
1484,1971_c-65.mtx,48066,48066,360528,8,65.551
1485,0649_fpga_dcop_32.mtx,1220,1220,5892,8,4.714
1486,1563_cis-n4c6-b13.mtx,6300,25605,88200,8,44.1
1487,0282_cz148.mtx,148,148,1527,8,0.94
1488,0526_ck656.mtx,656,656,3884,8,4.143
1489,0531_cis-n4c6-b2.mtx,1330,210,3990,8,5.32
1490,1493_EX3(0).mtx,2600,2600,71760,8,39.592
1491,0059_GlossGT.mtx,72,72,122,8,0.163
1492,2347_nemeth23.mtx,9506,9506,1506810,8,283.635
1493,0487_small.mtx,677,1400,3207,8,1.9
1494,0841_rotor2.mtx,791,791,10685,8,6.332
1495,0105_GD99_b.mtx,64,64,252,8,0.31
1496,0454_Trefethen_200b.mtx,199,199,2873,8,1.768
1497,1406_beaflw.mtx,497,507,53403,8,21.909
1498,0630_jazz.mtx,198,198,5484,8,3.375
1499,0338_oscil_dcop_44.mtx,430,430,1544,8,0.95
1500,1103_sstmodel.mtx,3345,3345,22749,8,13.999
1501,1002_bcsstm37.mtx,25503,25503,15525,8,13.8
1502,0660_fpga_dcop_40.mtx,1220,1220,5892,8,4.285
1503,0502_hangGlider_1.mtx,360,360,3477,8,1.987
1504,0751_GL7d26.mtx,305,2798,7412,8,4.744
1505,0960_bcsstk08.mtx,1074,1074,12960,8,7.15
1506,2610_cont1_l.mtx,1918399,1921596,7031999,8,105.645
1507,1931_EAT_SR.mtx,23219,23219,325589,8,23.256
1508,2322_pli.mtx,22695,22695,1350309,8,144.033
1509,2661_kim2.mtx,456976,456976,11330020,8,212.272
1510,1095_lock_700.mtx,700,700,22175,8,13.646
1511,1023_lshp2614.mtx,2614,2614,17980,8,10.655
1512,1026_spiral.mtx,1434,1434,18228,8,9.408
1513,1638_scsd8-2c.mtx,5130,35910,112770,8,47.482
1514,0503_dwt_193.mtx,193,193,3493,8,2.794
1515,0782_lp_scfxm3.mtx,990,1800,8206,8,6.252
1516,1281_G3.mtx,800,800,38352,8,23.601
1517,0652_fpga_dcop_44.mtx,1220,1220,5892,8,3.626
1518,0135_GD06_theory.mtx,101,101,380,8,0.234
