index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2365,1561_cs4.mtx,22499,22499,87716,0.000,0.048,3.653
2366,2073_psmigr_2.mtx,3140,3140,540022,0.000,0.034,31.865
2367,1855_struct4.mtx,4350,4350,237798,0.000,0.008,56.477
2368,0244_dwt_162.mtx,162,162,1182,0.000,0.005,0.460
2369,0677_fpga_dcop_25.mtx,1220,1220,5892,0.000,0.006,1.974
2370,1491_L-9.mtx,17983,17983,71192,0.000,0.009,15.021
2371,2343_mosfet2.mtx,46994,46994,1499460,0.000,0.234,12.796
2372,2564_kron_g500-logn16.mtx,65536,65536,4912469,0.000,1.995,4.926
2373,2650_mip1.mtx,66463,66463,10352819,0.000,0.132,156.949
2374,0123_dolphins.mtx,62,62,318,0.000,0.005,0.134
2375,1369_xingo_afonso_itaipu.mtx,13250,13250,48735,0.000,0.006,15.415
2376,0830_dw1024.mtx,2048,2048,10114,0.000,0.004,4.539
2377,2156_c-72.mtx,84064,84064,707558,0.000,0.070,20.246
2378,0116_west0067.mtx,67,67,294,0.000,0.005,0.128
2379,2714_eu-2005.mtx,862664,862664,19235140,0.000,1.130,34.038
2380,1114_G41.mtx,2000,2000,23570,0.000,0.009,5.386
2381,1246_deter2.mtx,6095,17313,35731,0.000,0.017,4.124
2382,2330_thermomech_dM.mtx,204316,204316,1423116,0.000,0.355,8.014
2383,1665_vsp_c-30_data_data.mtx,11023,11023,124368,0.000,0.010,25.420
2384,0982_adder_trans_01.mtx,1814,1814,14579,0.000,0.007,4.039
2385,0295_oscil_dcop_12.mtx,430,430,1544,0.000,0.005,0.674
2386,2289_EternityII_Etilde.mtx,10054,204304,1170516,0.000,0.126,18.617
2387,0811_G19.mtx,800,800,9322,0.000,0.006,2.985
2388,0293_oscil_dcop_17.mtx,430,430,1544,0.000,0.005,0.674
2389,0328_oscil_dcop_49.mtx,430,430,1544,0.000,0.005,0.668
2390,2536_vsp_bcsstk30_500sep_10in_1Kout.mtx,58348,58348,4033156,0.000,1.979,4.075
2391,1746_raefsky5.mtx,6316,6316,168658,0.000,0.007,45.132
2392,0380_ash958.mtx,958,292,1916,0.000,0.004,1.009
2393,0656_fpga_dcop_49.mtx,1220,1220,5892,0.000,0.006,1.867
2394,1051_G43.mtx,1000,1000,19980,0.000,0.006,6.946
2395,0539_young1c.mtx,841,841,4089,0.000,0.005,1.736
2396,1046_g7jac010sc.mtx,2880,2880,19635,0.000,0.006,6.839
2397,0867_adder_dcop_53.mtx,1813,1813,11246,0.000,0.007,3.121
2398,1874_jan99jac120.mtx,41374,41374,260202,0.000,0.047,11.054
2399,0259_can_144.mtx,144,144,1296,0.000,0.005,0.534
2400,1723_cage10.mtx,11397,11397,150645,0.000,0.012,25.953
2401,2408_conf6_0-8x8-30.mtx,49152,49152,1916928,0.000,0.045,84.545
2402,1653_conf5_0-4x4-22.mtx,3072,3072,119808,0.000,0.006,41.643
2403,1656_conf5_0-4x4-10.mtx,3072,3072,119808,0.000,0.006,41.636
2404,0922_145bit.mtx,1002,993,11315,0.000,0.006,4.053
2405,0471_model1.mtx,362,798,3028,0.000,0.006,0.959
