index,mtx,m,n,nnz,right-n,pixel_gflops
1504,1023_lshp2614.mtx,2614,2614,17980,8,23.973
1505,1026_spiral.mtx,1434,1434,18228,8,17.156
1506,1638_scsd8-2c.mtx,5130,35910,112770,8,82.015
1507,0503_dwt_193.mtx,193,193,3493,8,3.726
1508,0782_lp_scfxm3.mtx,990,1800,8206,8,8.753
1509,1281_G3.mtx,800,800,38352,8,43.831
1510,0652_fpga_dcop_44.mtx,1220,1220,5892,8,6.285
1511,0135_GD06_theory.mtx,101,101,380,8,0.553
1512,0304_oscil_dcop_10.mtx,430,430,1544,8,2.246
1513,0115_curtis54.mtx,54,54,291,8,0.466
1514,2181_lhr34c.mtx,35152,35152,764014,8,260.090
1515,0349_dwt_221.mtx,221,221,1629,8,2.005
1516,0474_can_268.mtx,268,268,3082,8,3.793
1517,1958_vibrobox.mtx,12328,12328,342828,8,152.368
1518,2494_amazon0312.mtx,400727,400727,3200440,8,38.357
1519,1793_jnlbrng1.mtx,40000,40000,199200,8,159.360
1520,1948_me2010.mtx,69518,69518,335476,8,45.488
1521,1405_shermanACd.mtx,6136,6136,53329,8,23.702
1522,1577_fxm3_6(0).mtx,5026,5026,94026,8,71.639
1523,1573_big.mtx,13209,13209,91465,8,66.520
1524,1483_ex20.mtx,2203,2203,69981,8,65.864
1525,0242_flower_7_1.mtx,463,393,1178,8,1.713
1526,2394_cfd1.mtx,70656,70656,1828364,8,241.767
1527,2548_TF19.mtx,241029,317955,4370721,8,69.239
1528,2319_raefsky4.mtx,19779,19779,1328611,8,322.088
1529,0947_D_9.mtx,815,1133,12395,8,15.255
1530,0561_Maragal_2.mtx,555,350,4357,8,4.979
1531,1365_rosen2.mtx,1032,3080,47536,8,29.253
1532,0521_bp_200.mtx,822,822,3802,8,3.578
1533,0463_qh768.mtx,768,768,2934,8,4.268
1534,1134_delaunay_n12.mtx,4096,4096,24528,8,30.188
1535,2236_net50.mtx,16320,16320,945200,8,207.167
1536,1196_lp_greenbea.mtx,2392,5598,31070,8,29.242
1537,0612_nos5.mtx,468,468,5172,8,6.896
1538,2025_bcsstk17.mtx,10974,10974,428650,8,228.613
1539,1633_scfxm1-2b.mtx,19036,33047,111052,8,71.073
1540,0381_bcsstm26.mtx,1922,1922,1922,8,5.125
1541,1752_jan99jac080.mtx,27534,27534,171522,8,72.220
1542,2477_thermomech_dK.mtx,204316,204316,2846228,8,89.119
1543,0013_relat3.mtx,12,5,24,8,0.064
1544,2050_af23560.mtx,23560,23560,484256,8,298.004
1545,1965_cit-HepTh.mtx,27770,27770,352807,8,30.679
1546,0844_filter2D.mtx,1668,1668,10750,8,15.636
1547,0732_lp_nug08.mtx,912,1632,7296,8,7.296
1548,2562_rajat29.mtx,643994,643994,4866270,8,96.481
1549,1597_se.mtx,32768,32768,98300,8,120.985
1550,2835_mycielskian18.mtx,196607,196607,300933832,8,221.774
1551,0951_D_7.mtx,1270,971,12714,8,16.952
1552,0009_rel3.mtx,12,5,18,8,0.048
1553,1811_g3rmt3m3.mtx,5357,5357,207695,8,166.156
1554,2560_apache2.mtx,715176,715176,4817870,8,146.551
1555,1872_airfoil_2d.mtx,14214,14214,259688,8,96.628
1556,1025_freeFlyingRobot_4.mtx,2358,2358,18218,8,16.194
1557,0323_oscil_dcop_31.mtx,430,430,1544,8,2.246
1558,1797_c-52.mtx,23948,23948,202716,8,90.096
1559,1414_ex10.mtx,2410,2410,54840,8,54.840
1560,2244_crystk02.mtx,13965,13965,968583,8,316.272
1561,1764_wang3.mtx,26064,26064,177168,8,149.194
1562,0814_G21.mtx,800,800,9334,8,9.334
1563,1280_G2.mtx,800,800,38352,8,43.831
1564,0006_mycielskian3.mtx,5,5,10,8,0.032
1565,1691_cavity24.mtx,4562,4562,138187,8,116.368
1566,2632_thermal2.mtx,1228045,1228045,8580313,8,69.336
1567,0231_pde225.mtx,225,225,1065,8,2.130
1568,0320_oscil_dcop_04.mtx,430,430,1544,8,2.246
1569,0924_watt_1.mtx,1856,1856,11360,8,18.176
1570,0608_Franz1.mtx,2240,768,5120,8,7.447
