index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2169,2734_human_gene1.mtx,22283,22283,24669643,0.000,0.796,61.983
2170,2033_2D_27628_bjtcai.mtx,27628,27628,442898,0.000,0.009,96.798
2171,0012_lpi_galenet.mtx,8,14,22,0.000,0.003,0.016
2172,2120_vsp_bump2_e18_aa01_model1_crew1.mtx,56438,56438,601602,0.000,0.065,18.641
2173,0376_mesh3e1.mtx,289,289,1889,0.000,0.004,0.999
2174,1890_fome13.mtx,48568,97840,285056,0.000,0.067,8.554
2175,1687_cavity16.mtx,4562,4562,138187,0.000,0.005,52.966
2176,0034_n3c4-b2.mtx,20,15,60,0.000,0.002,0.054
2177,1541_kineticBatchReactor_6.mtx,7773,7773,82500,0.000,0.006,28.287
2178,1853_ch7-8-b3.mtx,58800,11760,235200,0.000,0.009,49.516
2179,0981_mycielskian9.mtx,383,383,14542,0.000,0.005,5.550
2180,0836_SciMet.mtx,3084,3084,10413,0.000,0.004,5.140
2181,0958_freeFlyingRobot_3.mtx,1718,1718,12922,0.000,0.005,5.101
2182,0600_S40PI_n1.mtx,2028,2028,5007,0.000,0.004,2.797
2183,2404_Zd_Jac3.mtx,22835,22835,1916152,0.000,0.022,177.216
2184,2169_id2010.mtx,149842,149842,728264,0.000,0.113,12.881
2185,2599_delaunay_n20.mtx,1048576,1048576,6291372,0.000,0.337,37.386
2186,1053_G47.mtx,1000,1000,19980,0.000,0.004,9.921
2187,0650_fpga_dcop_51.mtx,1220,1220,5892,0.000,0.005,2.503
2188,0821_jagmesh4.mtx,1440,1440,9504,0.000,0.004,4.594
2189,0711_lp_fffff800.mtx,524,1028,6401,0.000,0.006,2.176
2190,1782_vsp_befref_fxm_2_4_air02.mtx,14109,14109,196448,0.000,0.014,28.393
2191,1388_beacxc.mtx,497,506,50409,0.000,0.006,16.637
2192,2465_cop20k_A.mtx,121192,121192,2624331,0.000,0.117,44.899
2193,1722_model10.mtx,4400,16819,150372,0.000,0.007,40.553
2194,0999_lshp2233.mtx,2233,2233,15337,0.000,0.004,7.409
2195,2636_atmosmodd.mtx,1270432,1270432,8814880,0.000,0.275,64.052
2196,2340_raefsky3.mtx,21200,21200,1488768,0.000,0.007,406.934
