index,mtx,cvt_time,gflops
600,2255_smallworld.mtx,,168.14
601,0028_Tina_DisCog.mtx,,0.0334949
602,1630_vsp_p0291_seymourl_iiasa.mtx,,24.4685
603,1859_cond-mat-2003.mtx,,53.0508
604,0251_bibd_9_5.mtx,,0.219101
605,1120_ex29.mtx,,6.2302
606,2427_sme3Db.mtx,,140.029
607,1854_ca-HepPh.mtx,,39.2863
608,2305_msc10848.mtx,,162.654
609,0407_ch5-5-b3.mtx,,0.721813
610,2672_CurlCurl_3.mtx,,128.018
611,2329_ga2010.mtx,,143.9
612,1678_Wordnet3.mtx,,26.9032
613,0690_orsirr_2.mtx,,1.71095
614,0401_mhdb416.mtx,,0.719392
615,0087_GD98_b.mtx,,0.0670142
616,0775_lp_sierra.mtx,,2.21408
617,2501_stat96v3.mtx,,299.654
618,1898_raefsky1.mtx,,45.8533
619,0978_n4c5-b4.mtx,,4.0277
620,0831_dw2048.mtx,,3.08703
621,0313_oscil_dcop_18.mtx,,0.46267
622,1109_G40.mtx,,5.41609
623,2158_thermomech_TC.mtx,,91.5527
624,0099_d_dyn1.mtx,,0.0747105
625,2168_G2_circuit.mtx,,129.686
626,1507_c-37.mtx,,17.2585
627,2587_largebasis.mtx,,377.514
628,0598_SmaGri.mtx,,1.36179
629,2441_exdata_1.mtx,,288.131
630,1737_bayer04.mtx,,40.8288
631,1287_nasa1824.mtx,,8.00524
632,0950_Trefethen_700.mtx,,2.54818
633,0364_dwt_209.mtx,,0.46418
634,1232_shar_te2-b1.mtx,,10.0648
635,0419_lp_bandm.mtx,,0.64375
636,2071_Maragal_6.mtx,,72.128
637,1991_delaunay_n16.mtx,,91.8177
638,0631_lp_bnl1.mtx,,1.39376
639,2051_rajat18.mtx,,65.907
640,2248_pkustk01.mtx,,146.489
641,1245_Trec11.mtx,,5.41095
642,2519_s3dkt3m2.mtx,,410.63
643,1187_n3c6-b5.mtx,,8.1439
644,0118_mesh1e1.mtx,,0.0925451
645,2137_Trec13.mtx,,116.489
646,0294_oscil_dcop_11.mtx,,0.463159
647,2606_boneS01.mtx,,156.669
648,1055_G45.mtx,,4.08067
